cod,NOMBRE,DEPTO,MPIO,LATITUD,LONGITUD,FECHA_INST,FECHA_SUSP
23080940,PRESA SAN LORENZO  ,ANTIOQUIA,ALEJANDRÍA,6.3845833333,-74.9967777778,15/07/1992,
23080950,VIENTO EL [23080950],ANTIOQUIA,ALEJANDRÍA,6.4,-75.1,15/08/1992,15/11/2004
23085010,CALDERAS [23085010],ANTIOQUIA,SAN CARLOS,6.15,-75.0666666667,15/08/1985,15/07/1988
23085020,RADIO FARO [23085020],ANTIOQUIA,ALEJANDRÍA,6.3833333333,-75.15,15/03/1987,15/05/1987
23085030,ALEJANDRIA    [23085030],ANTIOQUIA,ALEJANDRÍA,6.37625,-75.1433888889,15/09/1988,
23085040,SELVA LA [23085040],ANTIOQUIA,RIONEGRO,6.1319166667,-75.4145555556,15/05/1958,28/08/2014
23085080,NUS GJA EXP EL [23085080],ANTIOQUIA,SAN ROQUE,6.4835833333,-74.8366944444,15/05/1972,
23085100,CARMELO EL HDA  ,ANTIOQUIA,LA CEJA,6.0333333333,-75.4,15/06/1973,15/09/1976
23085110,PENOL EL   [23085110],ANTIOQUIA,PEÑOL,6.2142222222,-75.2413055556,15/06/1973,
23085130,SAN CARLOS [23085130],ANTIOQUIA,SAN CARLOS,6.2,-74.9833333333,15/05/1973,15/09/1980
23085140,SAN FRANCISCO   ,ANTIOQUIA,SAN FRANCISCO,5.9638055556,-75.1006944444,15/06/1973,
23085160,CORRIENTES    [23085160],ANTIOQUIA,SAN VICENTE,6.3119444444,-75.2535555556,15/05/1975,
23085200,A.J M CORDOVA  ,ANTIOQUIA,RIONEGRO,6.1686666667,-75.4259166667,15/10/1973,
23085210,VIOLETAS LAS [23085210],ANTIOQUIA,SAN RAFAEL,6.3488888889,-75.0027777778,15/11/1982,30/09/2011
23085220,SAN CARLOS [23085220],ANTIOQUIA,SAN CARLOS,6.1576666667,-75.0389166667,15/05/1983,
23085260,LA SELVA AUTOM  ,ANTIOQUIA,RIONEGRO,6.1319166667,-75.4145555556,11/10/2004,
23085270,A.J.M. CORDOVA   ,ANTIOQUIA,RIONEGRO,6.1686666667,-75.4259166667,27/11/2006,
23087150,PTE REAL   [23087150],ANTIOQUIA,RIONEGRO,6.1434722222,-75.3799444444,15/05/1973,
23087160,CARAMANTA    [23087160],ANTIOQUIA,YOLOMBÓ,6.5073333333,-74.8651666667,15/07/1973,
23087180,SIRPES LOS   [23087180],ANTIOQUIA,CONCEPCIÓN,6.3754444444,-75.16125,15/05/1973,
23087190,GARRUCHA LA   [23087190],ANTIOQUIA,SAN LUIS,5.9983611111,-74.93825,15/06/1973,
23087200,PAILANIA    [23087200],ANTIOQUIA,COCORNÁ,5.9746944444,-75.1171388889,15/07/1973,
23087260,COLTEPUNTO RNS 19  ,ANTIOQUIA,RIONEGRO,6.1689166667,-75.3574166667,15/08/1977,
23087300,CASAMIA [23087300],ANTIOQUIA,RIONEGRO,6.1421944444,-75.3765555556,15/05/1992,28/08/2014
23087480,CANAL DE FUGA ,ANTIOQUIA,SAN CARLOS,6.2333333333,-74.8833333333,15/03/1987,15/11/1990
